scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,edge_loss3,data-010,False,2026-06-24T17:22:08.807405+00:00,104.12359237670898,101.7465591430664,105.47161102294922,106.82845115661621,0.004583000000025095,0.00905700000001275,13.640000000037844,2%,9404
A,edge_loss3,data-011,False,2026-06-24T17:22:13.195723+00:00,104.00557518005371,101.76563262939453,105.52763938903809,106.9483757019043,0.010340999999982614,0.0028400000000203818,13.181000000002996,2%,9408
A,edge_loss3,data-012,False,2026-06-24T17:22:17.608295+00:00,104.04229164123535,101.75204277038574,105.44419288635254,107.02323913574219,0.009397999999976037,0.0036629999999888696,13.060999999964906,2%,9604
A,edge_loss3,data-013,False,2026-06-24T17:22:22.005902+00:00,104.05206680297852,101.76253318786621,105.55076599121094,106.95624351501465,0.006582999999977801,0.006499999999988404,13.082999999966205,2%,9624
A,edge_loss3,data-014,False,2026-06-24T17:22:26.397612+00:00,104.02655601501465,101.73916816711426,105.42917251586914,106.79364204406738,0.012337000000002263,0.0011509999999930187,13.487999999995282,2%,9360
A,edge_loss3,data-015,False,2026-06-24T17:22:30.803313+00:00,103.79600524902344,101.61876678466797,105.08275032043457,106.74929618835449,0.010645000000010896,0.0028179999999906613,13.463000000001557,2%,9580
A,edge_loss3,data-016,False,2026-06-24T17:22:35.322000+00:00,,,233.48522186279297,234.9071502685547,0.007624000000021169,0.005769000000015012,13.393000000036182,1%,9464
A,edge_loss3,data-017,False,2026-06-24T17:22:39.735196+00:00,104.21943664550781,101.73797607421875,105.64303398132324,107.15675354003906,0.006464999999991505,0.0071199999999862484,13.584999999977754,2%,9304
A,edge_loss3,data-018,False,2026-06-24T17:22:44.535225+00:00,103.86776924133301,101.6240119934082,105.6680679321289,107.3310375213623,0.008172000000001844,0.005427999999994881,13.599999999996726,1%,9504
A,edge_loss3,data-019,False,2026-06-24T17:22:51.182751+00:00,103.83152961730957,101.77969932556152,105.03983497619629,106.79435729980469,0.006453000000021802,0.006679999999988695,13.133000000010497,0%,9468
A,edge_loss3,data-020,False,2026-06-24T17:22:55.587771+00:00,104.34460639953613,101.74131393432617,105.68761825561523,107.28979110717773,0.008247999999980493,0.005013000000019474,13.260999999999967,2%,9360
A,edge_loss3,data-021,False,2026-06-24T17:22:59.988001+00:00,104.46691513061523,101.75061225891113,105.9572696685791,107.3915958404541,0.010338999999987664,0.003108000000025868,13.447000000013531,2%,9416
A,edge_loss3,data-022,False,2026-06-24T17:23:04.376313+00:00,104.01725769042969,101.67884826660156,105.36599159240723,106.90569877624512,0.010128999999949428,0.0032750000000021373,13.403999999951566,2%,9624
A,edge_loss3,data-023,False,2026-06-24T17:23:08.769701+00:00,103.53422164916992,101.6228199005127,104.71153259277344,106.37259483337402,0.010944999999992433,0.0027589999999975134,13.703999999989946,2%,9412
A,edge_loss3,data-024,False,2026-06-24T17:23:13.165341+00:00,103.82819175720215,101.75061225891113,105.21960258483887,106.67943954467773,0.008934000000010656,0.004975000000001728,13.909000000012384,2%,9488
A,edge_loss3,data-025,False,2026-06-24T17:23:17.686060+00:00,,,233.36172103881836,234.7848415374756,0.00828999999998814,0.005293999999992138,13.583999999980279,1%,9344
A,edge_loss3,data-026,False,2026-06-24T17:23:22.092191+00:00,103.62720489501953,101.66287422180176,104.93087768554688,106.3992977142334,0.006995999999958258,0.006152000000014368,13.147999999972626,2%,9600
A,edge_loss3,data-027,False,2026-06-24T17:23:27.498682+00:00,103.95693778991699,101.67860984802246,105.6210994720459,106.9183349609375,0.005847000000017033,0.007332999999988488,13.18000000000552,0%,9332
A,edge_loss3,data-028,False,2026-06-24T17:23:32.300557+00:00,104.46715354919434,101.7615795135498,105.79276084899902,511.3532543182373,0.01035300000000916,0.002859000000000833,13.212000000009994,1%,9416
A,edge_loss3,data-029,False,2026-06-24T17:23:36.687836+00:00,103.79457473754883,101.77731513977051,105.4384708404541,106.82487487792969,0.008705000000020391,0.004653000000018892,13.358000000039283,2%,9424
A,edge_loss3,data-030,False,2026-06-24T17:23:41.082877+00:00,104.22086715698242,101.6538143157959,105.69620132446289,107.20014572143555,0.010976000000027852,0.0020770000000140953,13.053000000041948,2%,9520
A,edge_loss3,data-031,False,2026-06-24T17:23:45.482443+00:00,104.40278053283691,101.64284706115723,105.9424877166748,107.51605033874512,0.010080000000016298,0.0038010000000099353,13.881000000026233,2%,9452
A,edge_loss3,data-032,False,2026-06-24T17:23:49.890304+00:00,104.04133796691895,101.78375244140625,105.3617000579834,106.80222511291504,0.009326999999984764,0.004218999999977768,13.545999999962532,2%,9284
A,edge_loss3,data-033,False,2026-06-24T17:23:54.687352+00:00,104.00557518005371,101.76420211791992,105.45659065246582,106.92405700683594,0.006414000000006581,0.007506000000006452,13.920000000013033,1%,9404
A,edge_loss3,data-034,False,2026-06-24T17:24:00.151073+00:00,104.02488708496094,101.76277160644531,105.47351837158203,106.79316520690918,0.010133999999993648,0.0032759999999996126,13.40999999999326,0%,9572
A,edge_loss3,data-035,False,2026-06-24T17:24:04.566608+00:00,103.60455513000488,101.7451286315918,105.4842472076416,106.88328742980957,0.009314000000017586,0.004126000000013619,13.440000000031205,2%,9516
A,edge_loss3,data-036,False,2026-06-24T17:24:08.958058+00:00,103.74259948730469,101.75848007202148,105.34358024597168,106.83488845825195,0.006448000000034426,0.007394000000005008,13.842000000039434,2%,9600
A,edge_loss3,data-037,False,2026-06-24T17:24:13.352902+00:00,103.9888858795166,101.63998603820801,105.39484024047852,106.82129859924316,0.007959000000028027,0.005991999999992004,13.95100000002003,2%,9472
A,edge_loss3,data-038,False,2026-06-24T17:24:18.753403+00:00,103.80172729492188,101.72533988952637,105.0715446472168,106.61554336547852,0.006386000000020431,0.00722000000001799,13.60600000003842,0%,9412
A,edge_loss3,data-039,False,2026-06-24T17:24:23.155251+00:00,104.1259765625,101.76515579223633,105.62944412231445,106.9345474243164,0.00791700000002038,0.005693000000007942,13.610000000028322,2%,9400
A,edge_loss3,data-040,False,2026-06-24T17:24:27.547648+00:00,103.85966300964355,101.75108909606934,105.52382469177246,106.98246955871582,0.010656999999980599,0.002803999999997586,13.460999999978185,2%,9372
A,edge_loss3,data-041,False,2026-06-24T17:24:31.943216+00:00,104.16722297668457,101.74250602722168,105.58176040649414,107.10763931274414,0.010558000000003176,0.0029759999999896536,13.53399999999283,2%,9388
A,edge_loss3,data-042,False,2026-06-24T17:24:36.744559+00:00,103.61766815185547,101.74155235290527,104.99906539916992,514.5046710968018,0.009958999999980733,0.0039720000000045275,13.93099999998526,1%,9352
A,edge_loss3,data-043,False,2026-06-24T17:24:41.141742+00:00,103.68990898132324,101.76396369934082,105.37552833557129,106.6122055053711,0.00828599999999824,0.00519400000001724,13.48000000001548,2%,9408
A,edge_loss3,data-044,False,2026-06-24T17:24:45.545453+00:00,104.65097427368164,101.7611026763916,106.02688789367676,107.50341415405273,0.009122000000047592,0.003988999999990028,13.11100000003762,2%,9712
A,edge_loss3,data-045,False,2026-06-24T17:24:49.940903+00:00,103.78217697143555,101.75347328186035,105.15332221984863,106.48393630981445,0.00672900000000709,0.0064860000000237505,13.215000000030841,2%,9408
A,edge_loss3,data-046,False,2026-06-24T17:24:54.340704+00:00,104.85196113586426,101.73225402832031,106.33039474487305,107.74421691894531,0.007995999999991454,0.005654999999990196,13.65099999998165,2%,9460
A,edge_loss3,data-047,False,2026-06-24T17:24:58.736883+00:00,103.78551483154297,101.77183151245117,105.18598556518555,106.6288948059082,0.009678000000008069,0.0037959999999941374,13.474000000002206,2%,9540
A,edge_loss3,data-048,False,2026-06-24T17:25:03.130673+00:00,103.95383834838867,101.66525840759277,105.21245002746582,106.85062408447266,0.007842999999979838,0.0059219999999982065,13.764999999978045,2%,9508
A,edge_loss3,data-049,False,2026-06-24T17:25:07.526960+00:00,103.78479957580566,101.67813301086426,105.33452033996582,106.70638084411621,0.00994300000002113,0.00363699999999767,13.5800000000188,2%,9600
A,edge_loss3,data-050,False,2026-06-24T17:25:11.928708+00:00,104.00748252868652,101.76920890808105,105.56221008300781,107.13744163513184,0.01021200000002409,0.002848999999997659,13.06100000002175,2%,9384
A,edge_loss3,data-051,False,2026-06-24T17:25:16.342245+00:00,103.97815704345703,101.75514221191406,105.23319244384766,106.7664623260498,0.010044999999990978,0.0031430000000227665,13.188000000013744,2%,9464
A,edge_loss3,data-052,False,2026-06-24T17:25:20.735233+00:00,104.1264533996582,101.75633430480957,105.76891899108887,107.45072364807129,0.00765400000000227,0.005801000000019485,13.455000000021755,2%,9468
A,edge_loss3,data-053,False,2026-06-24T17:25:25.142203+00:00,104.20751571655273,101.63569450378418,105.59248924255371,107.15365409851074,0.00823800000000574,0.005788000000023885,14.026000000029626,2%,9448
A,edge_loss3,data-055,False,2026-06-24T17:25:33.223619+00:00,104.18844223022461,101.74250602722168,105.51333427429199,106.96959495544434,0.010662000000024818,0.0028920000000027812,13.5540000000276,2%,9504
A,edge_loss3,data-056,False,2026-06-24T17:25:37.628242+00:00,103.97839546203613,101.74727439880371,105.39579391479492,106.85110092163086,0.008279000000015913,0.005538000000001375,13.817000000017288,2%,9520
A,edge_loss3,data-057,False,2026-06-24T17:25:42.015810+00:00,103.98411750793457,101.76610946655273,105.36003112792969,106.80270195007324,0.007982000000026801,0.005337999999994736,13.320000000021537,2%,9520
A,edge_loss3,data-058,False,2026-06-24T17:25:46.414754+00:00,103.8508415222168,101.78232192993164,105.34811019897461,106.86397552490234,0.008998000000019601,0.004927999999978283,13.925999999997885,2%,9512
A,edge_loss3,data-060,False,2026-06-24T17:25:54.519803+00:00,104.18939590454102,101.75728797912598,105.58223724365234,107.10430145263672,0.010602000000005773,0.003112000000015769,13.714000000021542,2%,9308
A,edge_loss3,data-061,False,2026-06-24T17:25:58.928235+00:00,104.20680046081543,101.7305850982666,105.85236549377441,107.50961303710938,0.009942000000023654,0.0035670000000038726,13.509000000027527,2%,9332
A,edge_loss3,data-062,False,2026-06-24T17:26:03.324216+00:00,103.88875007629395,101.79495811462402,105.38864135742188,106.76407814025879,0.00860899999997855,0.00514599999999632,13.75499999997487,2%,9344
A,edge_loss3,data-063,False,2026-06-24T17:26:07.722587+00:00,104.05182838439941,101.79924964904785,105.37958145141602,106.66918754577637,0.011833999999964817,0.001840000000015607,13.673999999980424,2%,9404
A,edge_loss3,data-064,False,2026-06-24T17:26:12.137564+00:00,103.94573211669922,101.77850723266602,105.1478385925293,106.67300224304199,0.010039000000006126,0.0035479999999949996,13.587000000001126,2%,9576
A,edge_loss3,data-065,False,2026-06-24T17:26:16.534394+00:00,104.2022705078125,101.67407989501953,105.3621768951416,107.18226432800293,0.01080899999999474,0.0028279999999938354,13.636999999988575,2%,9600
A,edge_loss3,data-066,False,2026-06-24T17:26:21.341196+00:00,103.96456718444824,101.78327560424805,105.37385940551758,515.653133392334,0.007704999999987194,0.0059909999999945285,13.695999999981723,1%,9296
A,edge_loss3,data-067,False,2026-06-24T17:26:26.763340+00:00,103.72567176818848,101.78685188293457,105.1933765411377,106.54592514038086,0.008219999999994343,0.005352000000016233,13.572000000010576,0%,9512
A,edge_loss3,data-068,False,2026-06-24T17:26:31.173646+00:00,103.99508476257324,101.70125961303711,105.3171157836914,106.77003860473633,0.009162000000003445,0.004482999999993353,13.644999999996799,2%,9432
A,edge_loss3,data-069,False,2026-06-24T17:26:35.568265+00:00,103.84917259216309,101.77254676818848,105.18646240234375,106.53138160705566,0.00901099999998678,0.004721999999986792,13.732999999973572,2%,9524
A,edge_loss3,data-070,False,2026-06-24T17:26:39.959430+00:00,104.02250289916992,101.79257392883301,105.39531707763672,106.76956176757812,0.010014000000012402,0.0035980000000108703,13.612000000023272,2%,9548
A,edge_loss3,data-071,False,2026-06-24T17:26:44.358763+00:00,104.42900657653809,101.7618179321289,105.50451278686523,107.02872276306152,0.010816999999974541,0.002734000000003789,13.55099999997833,2%,9336
