scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,server_flight1_bytes,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,edge_loss3,data-020,False,2026-06-28T16:52:59.579777+00:00,103.62935066223145,101.75442695617676,104.77662086486816,106.21380805969238,2004,0.00775400000000559,0.005772999999997808,13.527000000003397,2%,9464
B,ideal,warmup-01,True,2026-06-28T16:53:04.290083+00:00,9.706497192382812,1.5561580657958984,10.487794876098633,12.309551239013672,7876,0.010035000000016225,0.00280000000000058,12.835000000016805,45%,9136
B,ideal,warmup-02,True,2026-06-28T16:53:08.491984+00:00,3.0069351196289062,1.2280941009521484,3.7736892700195312,5.422830581665039,7876,0.006077000000004773,0.006755999999995765,12.833000000000538,73%,9348
B,ideal,warmup-03,True,2026-06-28T16:53:12.693555+00:00,2.8367042541503906,1.1868476867675781,3.6962032318115234,5.20634651184082,7876,0.006022999999999001,0.006761000000004458,12.78400000000346,73%,9252
B,ideal,warmup-04,True,2026-06-28T16:53:16.892822+00:00,2.960205078125,1.2073516845703125,3.856658935546875,5.289316177368164,7876,0.008557999999993626,0.004291999999999518,12.849999999993145,66%,9204
B,ideal,warmup-05,True,2026-06-28T16:53:21.097257+00:00,2.905607223510742,1.1868476867675781,3.5517215728759766,5.274534225463867,7876,0.011131000000005997,0.0016839999999973543,12.815000000003351,73%,9408
B,ideal,data-001,False,2026-06-28T16:53:25.308546+00:00,2.9745101928710938,1.2087821960449219,3.648996353149414,5.504131317138672,7876,0.009095999999999549,0.0037590000000022883,12.855000000001837,73%,9372
B,ideal,data-002,False,2026-06-28T16:53:29.511216+00:00,2.8672218322753906,1.2354850769042969,3.640890121459961,5.314111709594727,7876,0.010156999999992422,0.0026809999999954925,12.837999999987915,66%,9360
B,ideal,data-003,False,2026-06-28T16:53:33.717746+00:00,2.8769969940185547,1.1873245239257812,3.913402557373047,5.36346435546875,7876,0.0073840000000018335,0.005367999999990047,12.751999999991881,66%,9284
B,ideal,data-004,False,2026-06-28T16:53:37.932206+00:00,3.12042236328125,1.1820793151855469,3.9505958557128906,5.7373046875,7876,0.009977000000020553,0.002898999999999319,12.876000000019872,68%,9208
B,ideal,data-005,False,2026-06-28T16:53:42.142728+00:00,3.055095672607422,1.2383460998535156,3.876209259033203,5.473852157592773,7876,0.009737000000001217,0.003005999999999176,12.743000000000393,68%,9212
B,ideal,data-006,False,2026-06-28T16:53:46.347633+00:00,2.928495407104492,1.2369155883789062,3.744363784790039,5.402565002441406,7876,0.010920999999996184,0.0018730000000033442,12.793999999999528,68%,9320
B,ideal,data-007,False,2026-06-28T16:53:50.550668+00:00,2.9006004333496094,1.1937618255615234,3.824949264526367,5.23066520690918,7876,0.009993000000008578,0.0029059999999958563,12.899000000004435,68%,9280
B,ideal,data-008,False,2026-06-28T16:53:54.751503+00:00,2.83050537109375,1.222848892211914,3.657817840576172,5.284309387207031,7876,0.007792999999992389,0.005142999999989684,12.935999999982073,66%,9276
B,ideal,data-009,False,2026-06-28T16:53:58.952993+00:00,2.973318099975586,1.1773109436035156,3.974437713623047,5.451679229736328,7876,0.006458000000009179,0.006405000000000882,12.86300000001006,62%,9408
B,ideal,data-010,False,2026-06-28T16:54:03.162802+00:00,2.795696258544922,1.2025833129882812,3.5734176635742188,5.210161209106445,7876,0.009410000000002583,0.003420999999988794,12.830999999991377,66%,9280
B,ideal,data-011,False,2026-06-28T16:54:07.363292+00:00,2.905607223510742,1.1858940124511719,3.777742385864258,5.499839782714844,7876,0.009917000000001508,0.0028559999999941965,12.772999999995704,62%,9384
B,ideal,data-012,False,2026-06-28T16:54:11.573478+00:00,2.834796905517578,1.1823177337646484,3.6497116088867188,5.200624465942383,7876,0.006602000000015096,0.00613200000000802,12.734000000023116,66%,9244
B,ideal,data-013,False,2026-06-28T16:54:15.781434+00:00,2.905607223510742,1.1951923370361328,3.9322376251220703,5.404472351074219,7876,0.008256000000017139,0.004581000000001723,12.837000000018861,62%,9232
B,ideal,data-014,False,2026-06-28T16:54:19.987926+00:00,2.917051315307617,1.1835098266601562,3.7097930908203125,5.251884460449219,7876,0.00836000000001036,0.004588999999995735,12.949000000006095,62%,9380
B,ideal,data-015,False,2026-06-28T16:54:24.200237+00:00,3.0188560485839844,1.2006759643554688,3.8576126098632812,5.4378509521484375,7876,0.006736000000017839,0.006152000000000157,12.888000000017996,62%,9344
B,ideal,data-016,False,2026-06-28T16:54:28.400073+00:00,2.968311309814453,1.1935234069824219,3.8950443267822266,5.42759895324707,7876,0.006664000000000669,0.006454000000005067,13.118000000005736,62%,9284
B,ideal,data-017,False,2026-06-28T16:54:32.602510+00:00,3.029346466064453,1.2118816375732422,3.9818286895751953,5.359411239624023,7876,0.006999000000007527,0.005724999999998204,12.72400000000573,60%,9264
B,ideal,data-018,False,2026-06-28T16:54:36.807791+00:00,3.0431747436523438,1.3041496276855469,3.948688507080078,5.617618560791016,7876,0.007263999999992166,0.005609999999990123,12.873999999982289,62%,9192
